comment_count,line_count,blank_lines,function_count,avg_variable_length,indentation_score,loop_count,personality
2,7,1,1,5.3,5,1,communicative
0,12,2,3,9.6,7,2,planner
0,4,0,1,1.1,4,0,fast_problem_solver
3,19,3,4,12.2,8,3,organized
0,5,0,0,1,2,1,careless
1,9,1,2,6.2,6,1,communicative
0,17,3,4,11.9,8,2,planner
0,2,0,1,1,4,0,fast_problem_solver
2,14,2,3,8.1,7,2,organized
0,6,0,0,1.1,2,1,careless
3,10,1,2,6.8,6,1,communicative
0,20,4,5,13.6,8,4,planner
0,3,0,1,1.3,3,0,fast_problem_solver
4,22,4,5,13.4,8,4,organized
0,7,0,1,2.2,3,1,careless
1,8,1,1,5.1,5,0,communicative
0,15,2,4,10.7,7,2,planner
0,2,0,1,1,5,0,fast_problem_solver
2,16,3,3,8.2,8,2,organized
0,4,0,0,1,2,1,careless
3,9,1,2,6,5,1,communicative
0,21,5,6,15.3,8,5,planner
0,1,0,0,1,2,0,fast_problem_solver
1,13,2,3,7.4,7,2,organized
0,5,0,1,1.5,3,1,careless
2,10,1,2,6.2,6,0,communicative
0,18,4,5,14,8,4,planner
0,2,0,0,1,2,0,fast_problem_solver
